City,Number of Sworn Officers,Number Wearing Body Cameras,Coverage,Fairness,Section of Provision,Policy Language/ Explanation,Transparency,Section of Provision(s),Policy Language/ Explanation,Privacy,Section of Provision,Policy Language/ Explanation,Accountability,Section of Provision,Policy Language/ Explanation
Austin,2300,20,1%,No,303.4.a.b,"Body camera footage may be reviewed by an officer ""to assist with the writing of a report, supplement, or memorandum.""",No,TX SB 158 Sec. 1701.660 and Sec. 1701.661.e,"Under TX law, police ""may"" (but are not required to) release footage upon public request after any internal or criminal investigations are completed.",Yes,303.2.4,"All footage not depicting a criminal investigation, critical incident, or Level 1 or 2 response to resistance will be deleted after 45 days. ",No,Not specified in policy,No disciplinary guidelines or statement saying that failure to adhere to Body Camera policy is prohibited
Baltimore,3080,155,5%,No,"Review of Recordings Section 2,3, and 4","Officers can view their own video footage ""to assist in complete and accurate report writing for routine matters. A member must document in their written reports whether camera data for the incident was reviewed."" In cases where deadly force was used, officers must get approval to review the footage prior to making statements.",Yes,Maryland Public Information Act § 10-618(f) ; see page 14 of http://www.rcfp.org/rcfp/orders/docs/POLICE.pdf,"Requested footage should be made public once any police investigation has concluded, as per the Maryland Public Information Act.",Unclear,Not specified in policy,"While footage is clearly being captured and stored, its unclear how long it is being stored since this is not included in the Body Camera policy.",No,Not specified in policy,"No statement that failure to adhere to the policy (other than sharing unauthorized footage) would result in discipline, no guidelines for how an officer should be disciplined"
Charlotte,1849,1849,100%,No,3.c,"""Officers may review BWC video to aid in completing reports, providing
statements or court testimony.""",No, J.4.a and V.F,"As per CMPD policy, any footage showing a deadly force incident won't be shown to the complainant without the Chief's prior approval. The CMPD Chief has also been clear that footage will be released on a case by case basis as per his discretion.",Yes,J.7,"All footage not depicting a misdemeanor, felony, activity relevant to an internal investigation or criminal investigation will be retained for 45 days.",No,II.b,"Policy states that ""any violation of this directive is considered a violation of Rule of Conduct (ROC) #42
(Use of Body Worn Cameras) and will be investigated."" However, there are no guidelines for how officers who violate this rule should be disciplined."
Chicago,11944,30,0.3%,No,IL Law Enforcement Officer-Worn Body Camera Act Section 10-20.a.6,"""The recording officer and his or her supervisor may access and review recordings prior to completing incident reports or other documentation, provided that the officer or his or her supervisor discloses that fact in the report or documentation.""",Yes,"IL Law Enforcement Officer-Worn Body Camera Act Section 10-20.b: http://www.ilga.gov/legislation/publicacts/99/PDF/099-0352.pdf
Illinois Freedom of Information Act subsection 7(1)c(i): http://www.medilljusticeproject.org/wp-content/uploads/sites/12/2014/09/FOIA_guide.pdf","Redacted footage will be released with permission of the victim or victim's legal representative. Under Illinois Freedom of Information Act subsection 7(1)(c)(i), this footage, as with all investigatory records, would be made available after an investigation concludes.",Yes,IL Law Enforcement Officer-Worn Body Camera Act Section 10-20.a.7.b: http://www.ilga.gov/legislation/publicacts/99/PDF/099-0352.pdf,"Footage deleted after 90 days unless it has evidentiary value, depicts a shooting or death, or is the subject of a complaint or internal investigation.",No,VIII.A,"Policy states that ""unauthorized duplicating, capturing, or disseminating of audio or video from BWC footage is strictly prohibited."" However, there are no guidelines for how officers who violate this rule should be disciplined."
Dallas,3474,77,2%,No,3XX.06F,"""During any administrative or criminal investigation the person conducting the investigation shall allow the involved officer to review video involving the incident captured by BWC equipment worn by the officer or another officer.""",No,TX SB 158 Sec. 1701.660 and Sec. 1701.661.e,"Under TX law, police ""may"" (but are not required to) release footage upon public request after any internal or criminal investigations are completed.",No,3XX.06C,"Footage deleted after 90 days if it is not categorized as criminal evidence, a Public Information Act request, internal affairs request, approved training section request, or special request from a commander. Because there are no criteria or restrictions provided for what can be included as a ""special request from a commander"", this policy was categorized as a ""No"" regarding privacy.",No,3XX.05,"While a number of activities are prohibited from being recorded, there are not guidelines for how officers who violate the policy should be disciplined."
Denver,1459,200,14%,No,4.e,"""Officers are authorized to review their own BWC recording when preparing official written documentation of a specific event. Officers may only review recordings from their assigned BWC."" In cases of an officer involved shooting or other serious incident, officers must get approval from their supervisors to view the footage prior to making statements.",No,3.a.2.b.2,"""All audio, images and media associated with the BWC are the property of the Denver Police Department and these items are not to be copied, released or disseminated in any form or manner outside the parameters of this policy without the expressed written consent of the Chief of Police."" However, this department policy could be in conflict with Colorado state public records law regarding criminal justice records, which give the public a right to access records involving ""official actions"" such as arrests as per http://dvmen.org/Sealing_records.htm . Denver Police Chief White has stated that he will not release footage to the public under the state's public records laws (http://www.thedenverchannel.com/news/local-news/denver-police-body-camera-experiment-chief-will-report-on-results-wednesday).",Unclear,8,"""The retention of all BWC media will comply with all applicable State of Colorado statutory requirements regarding criminal justice record management and evidence retention and will be based upon the current City and County of Denver Retention Guidelines. All BWC media will be purged from the system in accordance with the current retention schedule."" This schedule regarding body cameras has not been able to be found.",Yes,9,"Clear disciplinary guidelines for first, second, and third violations of department policy are included. However, these guidelines do not include significant disciplinary consequences to the officer and should be strengthened."
Fort Worth,1510,600,40%,Unclear,"Not specified in Fort Worth PD policy

TX law Sec. 1701.655.b.5","Fort Worth PD policy does not contain provisions on this, despite being mandated by TX law as per the following provision:
""(b)  A policy described by Subsection (a) must ensure that a body worn camera is activated only for a law enforcement purpose and must include:
 (5)  provisions entitling an officer to access any recording of an incident involving the officer before the officer is required to make a statement about the incident;""",No,TX SB 158 Sec. 1701.660 and Sec. 1701.661.e,"Under TX law, police ""may"" (but are not required to) release footage upon public request after any internal or criminal investigations are completed.",No,IV.E,"DME on Evidence.com that was categorized as “Criminal” or “Administrative” will be kept for a minimum of 2 years. Uncategorized DME will be destroyed after 180 days. In addition, a category entitled “Until Manually Deleted” will be utilized in those instances dictated by the City Attorney’s office or the Risk Management office. Because there are no criteria or restrictions provided for what can be included as""Until Manually Deleted"", this policy was categorized as a ""No"" regarding privacy.",No,Legal Aspects and I.F,"""Unless specifically authorized by this order or done in accordance with the City Document
Retention Schedule, tampering with evidence (including, but not limited to, alteration,
overwriting, erasure or other efforts to purposely destroy or modify any recordings) may
constitute a criminal offense and/or an administrative violation. Violation of any portion of this SOP may lead to disciplinary action.""
""Officers may be subject to disciplinary action for reporting to duty without their assigned digital recording device and/or for the intentional or negligent loss of or damage to a device."""
Louisville,1250,640,51%,No,Wearable Video System 4.31.13,"""Officers shall be permitted to review their WVS footage of any incident in which they were involved prior to
making a statement or report regarding the incident.""",No,"Not specified in policy, but the Police Chief has publicly stated that footage would be released on a case-by-case basis","In a May public address, Police Chief Steve Conrad said LMPD will have case-by-case discretion when releasing video involved in on-going investigations. For incidents that face high public scrutiny, such as an officer-involved shooting, the department ""would very likely want"" to make it public in the interest of transparency, he said.",Yes,4.31.14,"""WVS recordings shall be retained for a minimum of 30 days (non-evidentiary recordings), with the exception of those recordings which need to be retained longer (evidentiary recordings) due to an investigation (including criminal, administrative, Administrative Incident Report (AIR), etc.), litigation or open records request. These recordings shall be maintained until all investigative or legal activity is completed, pursuant to KRS or applicable records retention schedules. Recordings containing DUI video evidence shall be maintained and destroyed pursuant to KRS 189A.100.""
These provisions are also included in KY state regulations as per: https://docjt.ky.gov//legal/documents/BodyWornCameras.pdf",No,4.31.14,"""Officers shall not delete/erase, destroy, copy, reuse, alter/modify or tamper with WVS recordings."" No clear disciplinary consequences articulated in policy."
Los Angeles,10000,800,8%,No,XVIII and XIX,"""Officers are therefore required to review BWV recordings on their assigned device or authorized computer prior to documenting an incident, arrest, search, interview, use of force or other enforcement or investigative activity to ensure that their reports, statements, and documentation are accurate and complete.""
""If an officer is involved in a Categorical Use of Force (CUOF), such as an officer involved shooting, an officer shall not review his or her BWV until authorized by the assigned Force Investigation Division (FID) investigator.""",No,"Not specified in policy, but the Police Chief has stated footage would be released as per his discretion.","LA Police Chief has stated that recordings won't be released unless required by a criminal or civil court proceeding, or at the discretion of police officials. ",Unclear,Not specified in policy,No policy language,No,VII and VIII,"Unauthorized use or release of footage, or tampering with/erasing footage is considered serious misconduct subject to disciplinary action. That discipline, however, is unspecified."
Memphis,2142,500,23%,No,F,"""Officers are authorized to review their own BWC when preparing official written documentation of a specific event.""
Officers need ISB investigator approval before reviewing footage of themselves after being involved in a critical incident i.e. police shooting.",Yes,VII.B.5,Footage would be released under Tennesee public records law. There may be issues with releasing footage that is part of an active investigation.,Unclear,Not specified in policy,No policy language,No,VIII,"""Employees who violate this policy will be subject to corrective action pursuant to departmental policies and procedures."" No specific disciplinary consequences are included."
